Problem,Link,Platform,Pattern,Difficulty,Priority
Coin Change II Number of Ways,https://leetcode.com/problems/coin-change-ii/,LeetCode,Knapsack,Medium,Class
Ones and Zeroes,https://leetcode.com/problems/ones-and-zeroes/,LeetCode,Knapsack,Medium,Class
Last Stone Weight II,https://leetcode.com/problems/last-stone-weight-ii/,LeetCode,Knapsack,Medium,Class
Minimum Cost for Tickets,https://leetcode.com/problems/minimum-cost-for-tickets/,LeetCode,Knapsack,Medium,Class
Length of Longest Subsequence With Target Sum,https://leetcode.com/problems/length-of-the-longest-subsequence-that-sums-to-target/,LeetCode,Knapsack,Hard,Class
Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,LeetCode,LIS DP,Medium,Class
Printing Longest Increasing Subsequence,https://www.geeksforgeeks.org/problems/printing-longest-increasing-subsequence/1,GFG,LIS DP,Medium,Class
Maximum Sum Increasing Subsequence,https://www.geeksforgeeks.org/problems/maximum-sum-increasing-subsequence4749/1,GFG,LIS DP,Medium,Class
Longest Bitonic Subsequence,https://www.geeksforgeeks.org/problems/longest-bitonic-subsequence0824/1,GFG,LIS DP,Medium,Class
Minimum Deletions to Make Array Sorted,https://www.geeksforgeeks.org/problems/minimum-number-of-deletions-to-make-a-sorted-sequence3248/1,GFG,LIS DP,Medium,Class
Number of Longest Increasing Subsequences,https://leetcode.com/problems/number-of-longest-increasing-subsequence/,LeetCode,LIS DP,Medium,Class
Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset/,LeetCode,LIS DP,Medium,Class
Increasing Triplet Subsequence,https://leetcode.com/problems/increasing-triplet-subsequence/,LeetCode,LIS DP,Medium,Class
Russian Doll Envelopes,https://leetcode.com/problems/russian-doll-envelopes/,LeetCode,LIS DP,Hard,Class
Maximum Length of Pair Chain,https://leetcode.com/problems/maximum-length-of-pair-chain/,LeetCode,LIS DP,Medium,Class
Unique Paths,https://leetcode.com/problems/unique-paths/,LeetCode,Grid DP,Medium,Class
Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,LeetCode,Grid DP,Medium,Class
Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,LeetCode,Grid DP,Medium,Class
Triangle,https://leetcode.com/problems/triangle/,LeetCode,Grid DP,Medium,Class
Minimum Falling Path Sum,https://leetcode.com/problems/minimum-falling-path-sum/,LeetCode,Grid DP,Medium,Class
Minimum Falling Path Sum II,https://leetcode.com/problems/minimum-falling-path-sum-ii/,LeetCode,Grid DP,Hard,Class
Maximal Square,https://leetcode.com/problems/maximal-square/,LeetCode,Grid DP,Medium,Class
Dungeon Game,https://leetcode.com/problems/dungeon-game/,LeetCode,Grid DP,Hard,Class
Cherry Pickup I,https://leetcode.com/problems/cherry-pickup/,LeetCode,Grid DP,Hard,Class
Cherry Pickup II,https://leetcode.com/problems/cherry-pickup-ii/,LeetCode,Grid DP,Hard,Class
Longest Increasing Path in Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,LeetCode,Grid DP,Hard,Class
Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,LeetCode,LCS DP,Medium,Class
Longest Common Substring,https://www.geeksforgeeks.org/problems/longest-common-substring1452/1,GFG,LCS DP,Medium,Class
Print Longest Common Subsequence,https://www.geeksforgeeks.org/problems/printing-longest-common-subsequence/1,GFG,LCS DP,Medium,Class
Shortest Common Supersequence,https://leetcode.com/problems/shortest-common-supersequence/,LeetCode,LCS DP,Hard,Class
Minimum Insertions to Make Palindrome,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/,LeetCode,LCS DP,Hard,Class
Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/,LeetCode,LCS DP,Medium,Class
Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,LeetCode,LCS DP,Medium,Class
Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,LeetCode,LCS DP,Hard,Class
Edit Distance,https://leetcode.com/problems/edit-distance/,LeetCode,LCS DP,Hard,Class
Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,LeetCode,LCS DP,Hard,Class
Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,LeetCode,LCS DP,Hard,Class
Maximum Length of Repeated Subarray,https://leetcode.com/problems/maximum-length-of-repeated-subarray/,LeetCode,LCS DP,Medium,Class
Matrix Chain Multiplication,https://www.geeksforgeeks.org/problems/matrix-chain-multiplication0303/1,GFG,Interval DP,Medium,Class
Minimum Cost to Cut a Stick,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/,LeetCode,Interval DP,Hard,Class
Burst Balloons,https://leetcode.com/problems/burst-balloons/,LeetCode,Interval DP,Hard,Class
Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,LeetCode,Interval DP,Medium,Class
Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii/,LeetCode,Interval DP,Hard,Class
Palindrome Partitioning III,https://leetcode.com/problems/palindrome-partitioning-iii/,LeetCode,Interval DP,Hard,Class
Merge Stones,https://leetcode.com/problems/minimum-cost-to-merge-stones/,LeetCode,Interval DP,Hard,Class
Boolean Parenthesization,https://www.geeksforgeeks.org/problems/boolean-parenthesization5610/1,GFG,Interval DP,Hard,Class
Predict the Winner,https://leetcode.com/problems/predict-the-winner/,LeetCode,Game DP,Medium,Class
Stone Game,https://leetcode.com/problems/stone-game/,LeetCode,Game DP,Medium,Class
Stone Game II,https://leetcode.com/problems/stone-game-ii/,LeetCode,Game DP,Hard,Class
Stone Game III,https://leetcode.com/problems/stone-game-iii/,LeetCode,Game DP,Hard,Class
Divisor Game,https://leetcode.com/problems/divisor-game/,LeetCode,Game DP,Easy,Class
Nim Game,https://leetcode.com/problems/nim-game/,LeetCode,Game DP,Easy,Class
Best Time to Buy and Sell Stock I,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,LeetCode,Stock DP,Easy,Class
Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,LeetCode,Stock DP,Medium,Class
Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,LeetCode,Stock DP,Hard,Class
Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,LeetCode,Stock DP,Hard,Class
Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,LeetCode,Stock DP,Medium,Class
Best Time to Buy and Sell Stock with Transaction Fee,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,LeetCode,Stock DP,Medium,Class
