title,slug,link,difficulty,platform,tags
Sort Colors,sort-colors,https://leetcode.com/problems/sort-colors/,,LeetCode,i-200
Subarray Sum Equals K,subarray-sum-equals-k,https://leetcode.com/problems/subarray-sum-equals-k/,,LeetCode,i-200
Longest Consecutive Sequence,longest-consecutive-sequence,https://leetcode.com/problems/longest-consecutive-sequence/,,LeetCode,i-200
Minimum Size Subarray Sum,minimum-size-subarray-sum,https://leetcode.com/problems/minimum-size-subarray-sum/,,LeetCode,i-200
Kth Largest Element in an Array,kth-largest-element-in-an-array,https://leetcode.com/problems/kth-largest-element-in-an-array/,,LeetCode,i-200
Maximum Circular Subarray,maximum-circular-subarray,https://leetcode.com/problems/maximum-sum-circular-subarray/,,LeetCode,i-200
Jump Game,jump-game,https://leetcode.com/problems/jump-game/,,LeetCode,i-200
Jump Game II,jump-game-ii,https://leetcode.com/problems/jump-game-ii/,,LeetCode,i-200
Gas Station,gas-station,https://leetcode.com/problems/gas-station/,,LeetCode,i-200
Candy,candy,https://leetcode.com/problems/candy/,,LeetCode,i-200
Valid Anagram,valid-anagram,https://leetcode.com/problems/valid-anagram/,,LeetCode,i-200
Group Anagrams,group-anagrams,https://leetcode.com/problems/group-anagrams/,,LeetCode,i-200
Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,,LeetCode,i-200
Longest Repeating Character Replacement,longest-repeating-character-replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,,LeetCode,i-200
Minimum Window Substring,minimum-window-substring,https://leetcode.com/problems/minimum-window-substring/,,LeetCode,i-200
Longest Palindromic Substring,longest-palindromic-substring,https://leetcode.com/problems/longest-palindromic-substring/,,LeetCode,i-200
Palindromic Substrings,palindromic-substrings,https://leetcode.com/problems/palindromic-substrings/,,LeetCode,i-200
Valid Palindrome,valid-palindrome,https://leetcode.com/problems/valid-palindrome/,,LeetCode,i-200
Valid Palindrome II,valid-palindrome-ii,https://leetcode.com/problems/valid-palindrome-ii/,,LeetCode,i-200
String to Integer (atoi),string-to-integer-atoi,https://leetcode.com/problems/string-to-integer-atoi/,,LeetCode,i-200
Implement strStr(),implement-strstr,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,,LeetCode,i-200
Longest Common Prefix,longest-common-prefix,https://leetcode.com/problems/longest-common-prefix/,,LeetCode,i-200
Roman to Integer,roman-to-integer,https://leetcode.com/problems/roman-to-integer/,,LeetCode,i-200
Integer to Roman,integer-to-roman,https://leetcode.com/problems/integer-to-roman/,,LeetCode,i-200
Reverse Words in a String,reverse-words-in-a-string,https://leetcode.com/problems/reverse-words-in-a-string/,,LeetCode,i-200
Compare Version Numbers,compare-version-numbers,https://leetcode.com/problems/compare-version-numbers/,,LeetCode,i-200
Simplify Path,simplify-path,https://leetcode.com/problems/simplify-path/,,LeetCode,i-200
Encode and Decode Strings,encode-and-decode-strings,https://leetcode.com/problems/encode-and-decode-strings/,,LeetCode,i-200
Count and Say,count-and-say,https://leetcode.com/problems/count-and-say/,,LeetCode,i-200
Text Justification,text-justification,https://leetcode.com/problems/text-justification/,,LeetCode,i-200
Maximum Sum Subarray of Size K,maximum-sum-subarray-of-size-k,https://www.geeksforgeeks.org/problems/max-sum-subarray-of-size-k5313/1,,GeeksforGeeks,i-200
Permutation in String,permutation-in-string,https://leetcode.com/problems/permutation-in-string/,,LeetCode,i-200
Find All Anagrams in a String,find-all-anagrams-in-a-string,https://leetcode.com/problems/find-all-anagrams-in-a-string/,,LeetCode,i-200
Sliding Window Maximum,sliding-window-maximum,https://leetcode.com/problems/sliding-window-maximum/,,LeetCode,i-200
Fruit Into Baskets,fruit-into-baskets,https://leetcode.com/problems/fruit-into-baskets/,,LeetCode,i-200
Subarrays with K Distinct,subarrays-with-k-distinct,https://leetcode.com/problems/subarrays-with-k-different-integers/,,LeetCode,i-200
Binary Subarrays With Sum,binary-subarrays-with-sum,https://leetcode.com/problems/binary-subarrays-with-sum/,,LeetCode,i-200
Count Number of Nice Subarrays,count-number-of-nice-subarrays,https://leetcode.com/problems/count-number-of-nice-subarrays/,,LeetCode,i-200
Maximum Points You Can Obtain from Cards,maximum-points-you-can-obtain-from-cards,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/,,LeetCode,i-200
Longest Ones,longest-ones,https://leetcode.com/problems/max-consecutive-ones-iii/,,LeetCode,i-200
Shortest Subarray with Sum at Least K,shortest-subarray-with-sum-at-least-k,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/,,LeetCode,i-200
Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,,LeetCode,i-200
3Sum,3sum,https://leetcode.com/problems/3sum/,,LeetCode,i-200
4Sum,4sum,https://leetcode.com/problems/4sum/,,LeetCode,i-200
Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,,LeetCode,i-200
Remove Element,remove-element,https://leetcode.com/problems/remove-element/,,LeetCode,i-200
Merge Sorted Array,merge-sorted-array,https://leetcode.com/problems/merge-sorted-array/,,LeetCode,i-200
Intersection of Two Arrays II,intersection-of-two-arrays-ii,https://leetcode.com/problems/intersection-of-two-arrays-ii/,,LeetCode,i-200
Squares of a Sorted Array,squares-of-a-sorted-array,https://leetcode.com/problems/squares-of-a-sorted-array/,,LeetCode,i-200
Backspace String Compare,backspace-string-compare,https://leetcode.com/problems/backspace-string-compare/,,LeetCode,i-200
Partition Labels,partition-labels,https://leetcode.com/problems/partition-labels/,,LeetCode,i-200
Binary Search,binary-search,https://leetcode.com/problems/binary-search/,,LeetCode,i-200
Search Insert Position,search-insert-position,https://leetcode.com/problems/search-insert-position/,,LeetCode,i-200
Find First and Last Position of Element,find-first-and-last-position-of-element,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,,LeetCode,i-200
Search in Rotated Sorted Array,search-in-rotated-sorted-array,https://leetcode.com/problems/search-in-rotated-sorted-array/,,LeetCode,i-200
Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,,LeetCode,i-200
Find Peak Element,find-peak-element,https://leetcode.com/problems/find-peak-element/,,LeetCode,i-200
Search a 2D Matrix,search-a-2d-matrix,https://leetcode.com/problems/search-a-2d-matrix/,,LeetCode,i-200
Median of Two Sorted Arrays,median-of-two-sorted-arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,,LeetCode,i-200
Koko Eating Bananas,koko-eating-bananas,https://leetcode.com/problems/koko-eating-bananas/,,LeetCode,i-200
Capacity To Ship Packages,capacity-to-ship-packages,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,,LeetCode,i-200
Split Array Largest Sum,split-array-largest-sum,https://leetcode.com/problems/split-array-largest-sum/,,LeetCode,i-200
Minimum Days to Make Bouquets,minimum-days-to-make-bouquets,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,,LeetCode,i-200
Magnetic Force Between Balls,magnetic-force-between-balls,https://leetcode.com/problems/magnetic-force-between-two-balls/,,LeetCode,i-200
Find Peak Element II,find-peak-element-ii,https://leetcode.com/problems/find-a-peak-element-ii/,,LeetCode,i-200
Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,,LeetCode,i-200
Find K Closest Elements,find-k-closest-elements,https://leetcode.com/problems/find-k-closest-elements/,,LeetCode,i-200
Sqrt(x),sqrt-x,https://leetcode.com/problems/sqrtx/,,LeetCode,i-200
Guess Number Higher or Lower,guess-number-higher-or-lower,https://leetcode.com/problems/guess-number-higher-or-lower/,,LeetCode,i-200
Peak Index in Mountain Array,peak-index-in-mountain-array,https://leetcode.com/problems/peak-index-in-a-mountain-array/,,LeetCode,i-200
Find Smallest Letter Greater Than Target,find-smallest-letter-greater-than-target,https://leetcode.com/problems/find-smallest-letter-greater-than-target/,,LeetCode,i-200
Valid Parentheses,valid-parentheses,https://leetcode.com/problems/valid-parentheses/,,LeetCode,i-200
Min Stack,min-stack,https://leetcode.com/problems/min-stack/,,LeetCode,i-200
Implement Queue using Stacks,implement-queue-using-stacks,https://leetcode.com/problems/implement-queue-using-stacks/,,LeetCode,i-200
Implement Stack using Queues,implement-stack-using-queues,https://leetcode.com/problems/implement-stack-using-queues/,,LeetCode,i-200
Next Greater Element I,next-greater-element-i,https://leetcode.com/problems/next-greater-element-i/,,LeetCode,i-200
Next Greater Element II,next-greater-element-ii,https://leetcode.com/problems/next-greater-element-ii/,,LeetCode,i-200
Daily Temperatures,daily-temperatures,https://leetcode.com/problems/daily-temperatures/,,LeetCode,i-200
Largest Rectangle in Histogram,largest-rectangle-in-histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,,LeetCode,i-200
Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,,LeetCode,i-200
Decode String,decode-string,https://leetcode.com/problems/decode-string/,,LeetCode,i-200
Generate Parentheses,generate-parentheses,https://leetcode.com/problems/generate-parentheses/,,LeetCode,i-200
Asteroid Collision,asteroid-collision,https://leetcode.com/problems/asteroid-collision/,,LeetCode,i-200
Implement Circular Queue,implement-circular-queue,https://leetcode.com/problems/design-circular-queue/,,LeetCode,i-200
Implement Circular Deque,implement-circular-deque,https://leetcode.com/problems/design-circular-deque/,,LeetCode,i-200
Reverse Linked List,reverse-linked-list,https://leetcode.com/problems/reverse-linked-list/,,LeetCode,i-200
Middle of the Linked List,middle-of-the-linked-list,https://leetcode.com/problems/middle-of-the-linked-list/,,LeetCode,i-200
Merge Two Sorted Lists,merge-two-sorted-lists,https://leetcode.com/problems/merge-two-sorted-lists/,,LeetCode,i-200
Remove Nth Node From End of List,remove-nth-node-from-end-of-list,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,,LeetCode,i-200
Linked List Cycle,linked-list-cycle,https://leetcode.com/problems/linked-list-cycle/,,LeetCode,i-200
Linked List Cycle II,linked-list-cycle-ii,https://leetcode.com/problems/linked-list-cycle-ii/,,LeetCode,i-200
Intersection of Two Linked Lists,intersection-of-two-linked-lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,,LeetCode,i-200
Palindrome Linked List,palindrome-linked-list,https://leetcode.com/problems/palindrome-linked-list/,,LeetCode,i-200
Add Two Numbers,add-two-numbers,https://leetcode.com/problems/add-two-numbers/,,LeetCode,i-200
Flatten a Multilevel Doubly Linked List,flatten-a-multilevel-doubly-linked-list,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/,,LeetCode,i-200
Copy List with Random Pointer,copy-list-with-random-pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,,LeetCode,i-200
Rotate List,rotate-list,https://leetcode.com/problems/rotate-list/,,LeetCode,i-200
Reverse Nodes in k-Group,reverse-nodes-in-k-group,https://leetcode.com/problems/reverse-nodes-in-k-group/,,LeetCode,i-200
Sort List,sort-list,https://leetcode.com/problems/sort-list/,,LeetCode,i-200
Merge k Sorted Lists,merge-k-sorted-lists,https://leetcode.com/problems/merge-k-sorted-lists/,,LeetCode,i-200
Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,,LeetCode,i-200
Binary Tree Inorder Traversal,binary-tree-inorder-traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/,,LeetCode,i-200
Binary Tree Preorder Traversal,binary-tree-preorder-traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/,,LeetCode,i-200
Binary Tree Postorder Traversal,binary-tree-postorder-traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/,,LeetCode,i-200
Level Order Traversal,level-order-traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,,LeetCode,i-200
Zigzag Level Order Traversal,zigzag-level-order-traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,,LeetCode,i-200
Diameter of Binary Tree,diameter-of-binary-tree,https://leetcode.com/problems/diameter-of-binary-tree/,,LeetCode,i-200
Balanced Binary Tree,balanced-binary-tree,https://leetcode.com/problems/balanced-binary-tree/,,LeetCode,i-200
Same Tree,same-tree,https://leetcode.com/problems/same-tree/,,LeetCode,i-200
Symmetric Tree,symmetric-tree,https://leetcode.com/problems/symmetric-tree/,,LeetCode,i-200
Lowest Common Ancestor of BST,lowest-common-ancestor-of-bst,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,,LeetCode,i-200
Lowest Common Ancestor of Binary Tree,lowest-common-ancestor-of-binary-tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,,LeetCode,i-200
Validate Binary Search Tree,validate-binary-search-tree,https://leetcode.com/problems/validate-binary-search-tree/,,LeetCode,i-200
Kth Smallest Element in BST,kth-smallest-element-in-bst,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,,LeetCode,i-200
Binary Tree Right Side View,binary-tree-right-side-view,https://leetcode.com/problems/binary-tree-right-side-view/,,LeetCode,i-200
Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,,LeetCode,i-200
Construct Binary Tree from Preorder and Inorder,construct-binary-tree-from-preorder-and-inorder,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,,LeetCode,i-200
Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,,LeetCode,i-200
Invert Binary Tree,invert-binary-tree,https://leetcode.com/problems/invert-binary-tree/,,LeetCode,i-200
Path Sum,path-sum,https://leetcode.com/problems/path-sum/,,LeetCode,i-200
Path Sum II,path-sum-ii,https://leetcode.com/problems/path-sum-ii/,,LeetCode,i-200
Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,,LeetCode,i-200
Populating Next Right Pointers,populating-next-right-pointers,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,,LeetCode,i-200
Count Complete Tree Nodes,count-complete-tree-nodes,https://leetcode.com/problems/count-complete-tree-nodes/,,LeetCode,i-200
Binary Tree Paths,binary-tree-paths,https://leetcode.com/problems/binary-tree-paths/,,LeetCode,i-200
Number of Islands,number-of-islands,https://leetcode.com/problems/number-of-islands/,,LeetCode,i-200
Flood Fill,flood-fill,https://leetcode.com/problems/flood-fill/,,LeetCode,i-200
Clone Graph,clone-graph,https://leetcode.com/problems/clone-graph/,,LeetCode,i-200
Course Schedule,course-schedule,https://leetcode.com/problems/course-schedule/,,LeetCode,i-200
Course Schedule II,course-schedule-ii,https://leetcode.com/problems/course-schedule-ii/,,LeetCode,i-200
Rotting Oranges,rotting-oranges,https://leetcode.com/problems/rotting-oranges/,,LeetCode,i-200
01 Matrix,01-matrix,https://leetcode.com/problems/01-matrix/,,LeetCode,i-200
Surrounded Regions,surrounded-regions,https://leetcode.com/problems/surrounded-regions/,,LeetCode,i-200
Word Ladder,word-ladder,https://leetcode.com/problems/word-ladder/,,LeetCode,i-200
Network Delay Time,network-delay-time,https://leetcode.com/problems/network-delay-time/,,LeetCode,i-200
Cheapest Flights Within K Stops,cheapest-flights-within-k-stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/,,LeetCode,i-200
Path With Minimum Effort,path-with-minimum-effort,https://leetcode.com/problems/path-with-minimum-effort/,,LeetCode,i-200
Number of Provinces,number-of-provinces,https://leetcode.com/problems/number-of-provinces/,,LeetCode,i-200
Detect Cycle in Undirected Graph,detect-cycle-in-undirected-graph,https://www.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1,,GeeksforGeeks,i-200
Detect Cycle in Directed Graph,detect-cycle-in-directed-graph,https://www.geeksforgeeks.org/problems/detect-cycle-in-a-directed-graph/1,,GeeksforGeeks,i-200
Topological Sort,topological-sort,https://www.geeksforgeeks.org/problems/topological-sort/1,,GeeksforGeeks,i-200
Minimum Spanning Tree,minimum-spanning-tree,https://www.geeksforgeeks.org/problems/minimum-spanning-tree/1,,GeeksforGeeks,i-200
Bellman Ford Algorithm,bellman-ford-algorithm,https://www.geeksforgeeks.org/problems/bellman-ford/1,,GeeksforGeeks,i-200
Kosaraju Algorithm,kosaraju-algorithm,https://www.geeksforgeeks.org/problems/strongly-connected-components-kosaraju-algo/1,,GeeksforGeeks,i-200
Find the City With Smallest Neighbors,find-the-city-with-smallest-neighbors,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/,,LeetCode,i-200
Climbing Stairs,climbing-stairs,https://leetcode.com/problems/climbing-stairs/,,LeetCode,i-200
Fibonacci Number,fibonacci-number,https://leetcode.com/problems/fibonacci-number/,,LeetCode,i-200
House Robber,house-robber,https://leetcode.com/problems/house-robber/,,LeetCode,i-200
House Robber II,house-robber-ii,https://leetcode.com/problems/house-robber-ii/,,LeetCode,i-200
Longest Increasing Subsequence,longest-increasing-subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,,LeetCode,i-200
Coin Change,coin-change,https://leetcode.com/problems/coin-change/,,LeetCode,i-200
Coin Change II,coin-change-ii,https://leetcode.com/problems/coin-change-ii/,,LeetCode,i-200
0/1 Knapsack,0-1-knapsack,https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1,,GeeksforGeeks,i-200
Partition Equal Subset Sum,partition-equal-subset-sum,https://leetcode.com/problems/partition-equal-subset-sum/,,LeetCode,i-200
Target Sum,target-sum,https://leetcode.com/problems/target-sum/,,LeetCode,i-200
Longest Common Subsequence,longest-common-subsequence,https://leetcode.com/problems/longest-common-subsequence/,,LeetCode,i-200
Edit Distance,edit-distance,https://leetcode.com/problems/edit-distance/,,LeetCode,i-200
Unique Paths,unique-paths,https://leetcode.com/problems/unique-paths/,,LeetCode,i-200
Unique Paths II,unique-paths-ii,https://leetcode.com/problems/unique-paths-ii/,,LeetCode,i-200
Minimum Path Sum,minimum-path-sum,https://leetcode.com/problems/minimum-path-sum/,,LeetCode,i-200
Triangle,triangle,https://leetcode.com/problems/triangle/,,LeetCode,i-200
Word Break,word-break,https://leetcode.com/problems/word-break/,,LeetCode,i-200
Palindromic Substrings,palindromic-substrings,https://leetcode.com/problems/palindromic-substrings/,,LeetCode,i-200
Longest Palindromic Subsequence,longest-palindromic-subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/,,LeetCode,i-200
Decode Ways,decode-ways,https://leetcode.com/problems/decode-ways/,,LeetCode,i-200
Best Time to Buy and Sell Stock with Cooldown,best-time-to-buy-and-sell-stock-with-cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,,LeetCode,i-200
Minimum Cost Climbing Stairs,minimum-cost-climbing-stairs,https://leetcode.com/problems/min-cost-climbing-stairs/,,LeetCode,i-200
